SECTION,YEAR_RANGE,MAKE,MODEL,NOTES
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sportage Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Stinger",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Telluride",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Arteon",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Atlas",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Atlas Cross Sport",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Beetle",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","CC",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Corrado",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Eos",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Golf",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Golf GTI",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Golf R",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","ID.4",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","ID.Buzz",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Jetta",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Jetta GLI",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Karmann Ghia",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Passat",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Phaeton",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Rabbit",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Routan",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Taos",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Tiguan",""
"IN APP - HAS DROPDOWN","1940-2026","Volkswagen","Touareg",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Ascent",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Baja",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","BRZ",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Crosstrek",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Forester",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Impreza",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Legacy",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Outback",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Solterra",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","SVX",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","Tribeca",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","WRX",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","WRX STI",""
"IN APP - HAS DROPDOWN","1940-2026","Subaru","XT",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","CT",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","ES",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","GS",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","GX",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","HS",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","IS",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","IS F",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","LC",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","LFA",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","LS",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","LX",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","NX",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","RC",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","RC F",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","RX",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","RZ",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","SC",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","TX",""
"IN APP - HAS DROPDOWN","1940-2026","Lexus","UX",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","400",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","600",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Aries K-car",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Aspen",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Avenger",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","B-Series Van",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Caravan",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Challenger",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Charger",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Coronet",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","D100 D150",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","D200 D250",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","D300 D350",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Dakota",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Dart",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Daytona",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Demon",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Diplomat",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Durango",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Dynasty",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Grand Caravan",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Intrepid",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Journey",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Lancer 1980s",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Lil Red Express Truck",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Mini Ram Van",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Mirada",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Monaco",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Neon",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Nitro",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Omni",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Polara",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Power Wagon",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Raider",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ram",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ram 1500",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ram 2500",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ram 3500",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ram Van",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Ramcharger",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Rampage",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Spirit",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Sportsman",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Sprinter",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Stealth",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Stratus",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Super Bee",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Tradesman",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Viper",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Wagoneer",""
"IN APP - HAS DROPDOWN","1940-2026","Dodge","Warlock",""

"=== SECTION 2: MAKES IN APP BUT USE FREE-TEXT MODEL INPUT ===","","","",""
"IN APP - FREE TEXT MODEL","1940-2026","Acura","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Alfa Romeo","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Aston Martin","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Bentley","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Bugatti","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Buick","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Cadillac","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Chrysler","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Citroën","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Dacia","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Daewoo","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Daihatsu","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Eagle","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Ferrari","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Fiat","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Fisker","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Genesis","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Geo","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Hummer","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Infiniti","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","International","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Isuzu","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Jaguar","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Karma","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Koenigsegg","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Lamborghini","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Lancia","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Land Rover","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Lincoln","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Lotus","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Lucid","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Maserati","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Maybach","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mazda","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","McLaren","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mercedes","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mercedes-Benz","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mercury","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mini","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Mitsubishi","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Oldsmobile","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Opel","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Peugeot","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Plymouth","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Polestar","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Pontiac","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Porsche","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Renault","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Rivian","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Rolls-Royce","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Saab","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Saleen","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Saturn","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Scion","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Seat","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Skoda","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Smart","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Spyker","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Suzuki","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Tata","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","VinFast","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Volvo","(customer types model manually)","No predefined model list"
"IN APP - FREE TEXT MODEL","1940-2026","Yugo","(customer types model manually)","No predefined model list"

"=== SECTION 3: MISSING MODELS THAT SHOULD BE ADDED ===","","","",""
"MISSING - SHOULD BE ADDED","1940-2026","Acura","TLX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","MDX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","RDX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","NSX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","ILX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","RSX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","TSX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","ZDX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Acura","Integra","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Enclave","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Encore","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Encore GX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Envision","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","LaCrosse","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Regal","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Verano","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Riviera","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Park Avenue","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","LeSabre","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Century","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Buick","Electra","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","CT4","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","CT5","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","CT6","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","Escalade","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","Escalade ESV","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","XT4","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","XT5","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","XT6","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","LYRIQ","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","CELESTIQ","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","SRX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","ATS","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","CTS","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","DTS","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","STS","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Cadillac","DeVille","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Aviator","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Corsair","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Nautilus","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Navigator","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Navigator L","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","MKZ","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","MKX","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","MKC","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","MKS","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Town Car","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Lincoln","Continental","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","911","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","718 Boxster","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","718 Cayman","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Cayenne","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Cayenne Coupe","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Macan","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Panamera","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Taycan","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Porsche","Taycan Cross Turismo","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-3","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-5","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-50","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-70","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-90","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","CX-9","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","Mazda3","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","Mazda6","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","MX-5 Miata","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","MX-30","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","RX-7","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mazda","RX-8","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Eclipse","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Eclipse Cross","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Galant","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Lancer","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Lancer Evolution","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Mirage","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Outlander","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Outlander PHEV","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Outlander Sport","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mitsubishi","Montero","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","Q50","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","Q60","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","Q70","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","QX50","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","QX55","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","QX60","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","QX80","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","G35","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","G37","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","FX35","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Infiniti","FX50","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Defender","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Discovery","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Discovery Sport","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Freelander","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Range Rover","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Range Rover Evoque","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Range Rover Sport","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Land Rover","Range Rover Velar","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","C40 Recharge","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","S60","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","S90","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","V60","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","V90","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","XC40","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","XC60","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","XC90","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","EX30","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Volvo","EX90","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","200","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","300","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","300C","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","Aspen","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","Pacifica","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","Pacifica Hybrid","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","Town & Country","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Chrysler","Voyager","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Bonneville","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Firebird","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","GTO","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","G6","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","G8","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Grand Am","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Grand Prix","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Montana","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Solstice","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Torrent","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Trans Am","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Pontiac","Vibe","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","Aura","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","Ion","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","Outlook","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","Sky","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","SL","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Saturn","Vue","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Clubman","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Convertible","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Cooper","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Cooper S","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Countryman","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","John Cooper Works","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Paceman","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Mini","Roadster","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Rivian","R1S","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Rivian","R1T","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Rivian","R2","Recommend adding as dropdown option"
"MISSING - SHOULD BE ADDED","1940-2026","Polestar","Polestar 1","Recommend adding as dropdown option"
